scope,run,split_seed,model,precision,recall,f1,tp,fp,fn,tn
all,1,7,NB,1.0,0.005494505494505495,0.01092896174863388,1,0,181,932
all,1,7,LR,0.6047430830039525,0.8406593406593407,0.7034482758620689,153,100,29,832
all,1,7,SVM,0.7222222222222222,0.7142857142857143,0.7182320441988951,130,50,52,882
all,2,8,NB,0.0,0.0,0.0,0,0,182,932
all,2,8,LR,0.6329113924050633,0.8241758241758241,0.7159904534606205,150,87,32,845
all,2,8,SVM,0.7189189189189189,0.7307692307692307,0.7247956403269755,133,52,49,880
all,3,9,NB,0.0,0.0,0.0,0,0,182,932
all,3,9,LR,0.6324786324786325,0.8131868131868132,0.7115384615384616,148,86,34,846
all,3,9,SVM,0.7288135593220338,0.7087912087912088,0.7186629526462396,129,48,53,884
all,4,10,NB,1.0,0.005494505494505495,0.01092896174863388,1,0,181,932
all,4,10,LR,0.6153846153846154,0.7912087912087912,0.6923076923076923,144,90,38,842
all,4,10,SVM,0.7028571428571428,0.6758241758241759,0.6890756302521008,123,52,59,880
all,5,11,NB,0.0,0.0,0.0,0,0,182,932
all,5,11,LR,0.6150627615062761,0.8076923076923077,0.6983372921615202,147,92,35,840
all,5,11,SVM,0.7191011235955056,0.7032967032967034,0.7111111111111111,128,50,54,882
all,6,12,NB,0.0,0.0,0.0,0,0,182,932
all,6,12,LR,0.6160337552742616,0.8021978021978022,0.6968973747016707,146,91,36,841
all,6,12,SVM,0.7126436781609196,0.6813186813186813,0.6966292134831461,124,50,58,882
all,7,13,NB,0.0,0.0,0.0,0,0,182,932
all,7,13,LR,0.6441441441441441,0.7857142857142857,0.7079207920792079,143,79,39,853
all,7,13,SVM,0.7017543859649122,0.6593406593406593,0.6798866855524079,120,51,62,881
all,8,14,NB,0.0,0.0,0.0,0,0,182,932
all,8,14,LR,0.6271929824561403,0.7857142857142857,0.697560975609756,143,85,39,847
all,8,14,SVM,0.75,0.6758241758241759,0.7109826589595376,123,41,59,891
all,9,15,NB,0.0,0.0,0.0,0,0,182,932
all,9,15,LR,0.6437768240343348,0.8241758241758241,0.7228915662650602,150,83,32,849
all,9,15,SVM,0.7377049180327869,0.7417582417582418,0.7397260273972602,135,48,47,884
all,10,16,NB,0.0,0.0,0.0,0,0,182,932
all,10,16,LR,0.6559633027522935,0.7857142857142857,0.715,143,75,39,857
all,10,16,SVM,0.7654320987654321,0.6813186813186813,0.7209302325581395,124,38,58,894
all,11,17,NB,0.0,0.0,0.0,0,0,182,932
all,11,17,LR,0.6111111111111112,0.8461538461538461,0.7096774193548387,154,98,28,834
all,11,17,SVM,0.7,0.7692307692307693,0.7329842931937173,140,60,42,872
all,12,18,NB,0.0,0.0,0.0,0,0,182,932
